Zaloznik,zanr1,zanr2,esbr 
Team,Fighting,3D,T
Radical,Action Adventure,Sci-Fi,T
Black,Arcade,Automobile,
Curve,Horror,Survival,T
Hypnos,,,T
SFB,Puzzle,General,E
Telltale,General,Compilation,M
Sega,Rhythm,Music,T
Sega,Rhythm,Music,T
Other,2D,2D,E
Atlus,General,Western-Style,T
Square,Role-Playing,Japanese-Style,
FreeStyleGames,Music,Music,T
Big,General,Fantasy,T
Epic,Sci-Fi,Arcade,M
Vicarious,Skateboarding,Skateboarding,E
Codemasters,General,Automobile,
Through,Puzzle,Action,E
Subset,Small Spaceship,Combat,
EA,Football,Sim,E
Obsidian,First-Person,Western-Style,M
ArtePiazza,Role-Playing,Japanese-Style,
EA,Sim,Sim,E
Monolith,Role-Playing,Action RPG,T
Namco,Flight,Modern Jet,T
Raven,Role-Playing,Action RPG,T
DrinkBox,Platformer,2D,
Housemarque,Scrolling,Horizontal,
Frictional,Action Adventure,Survival,M
Introversion,Sci-Fi,General,T
Massive,Third-Person,Tactical,M
Zen,Parlor,Pinball,E
EA,Third-Person,Modern,T
Monster,Racing,Stock Car,E
EA,Racing,Stock Car,E
Sonic,Puzzle,Matching,E
Digital,Platformer,2D,E
Slightly,Simulation,Automobile,E
Volition,Modern,Open-World,M
Polyphony,Simulation,Automobile,E
Ron,,,T
Monolith,Sci-Fi,Arcade,T
4A,First-Person,Sci-Fi,M
Rockstar,,,M
EA,Skateboarding,Skateboarding,T
PlatinumGames,Role-Playing,Action RPG,M
Telltale,General,Compilation,M
Vicarious,Action RPG,Action RPG,T
Gearbox,Historic,Arcade,M
Traveller,Action Adventure,Sci-Fi,
Game,Role-Playing,Trainer,E
11,Role-Playing,Action RPG,
Doragon,Shooter,Vertical,
Crystal,General,General,T
Vigil,Fantasy,Open-World,M
Gearbox,Sci-Fi,Arcade,M
Quantic,Third-Person,Modern,M
Team,Role-Playing,Action RPG,M
Opus,General,General,
Shanghai,Platformer,2D,
EA,Sim,Sim,E
Double,Third-Person,Fantasy,T
Renegade,2D,2D,E
Midway,Third-Person,Sci-Fi,M
Ron,,,
EA,General,Fantasy,T
Codemasters,Simulation,Automobile,E
Witch,Shooter,Top-Down,
Ubisoft,Action Adventure,Modern,M
Io,Action Adventure,General,M
Aki,Fighting,Wrestling,M
Nintendo,Role-Playing,Action RPG,E
Digital,Historic,Arcade,T
Creative,General,Historic,T
Visual,Basketball,Sim,E
Konami,Rhythm,Dancing,E
Capcom,Fighting,2D,T
Bethesda,Role-Playing,Western-Style,M
Red,Tactical,Modern,T
Hempuli,Action,General,E
ArenaNet,General,Massively Multiplayer,T
Square,Turn-Based,General,
Nippon,Turn-Based,Fantasy,T
Just,Platformer,2D,T
EA,Football,Sim,E
4J,Fantasy,Fantasy,
Gaijin,Music,Music,T
Edmund,Static,Top-Down,
Splash,Sci-Fi,Arcade,T
Incognito,Sci-Fi,Arcade,T
Tri,,,T
EA,Sim,Sim,E
Nintendo,2D,2D,E
SCEA,Baseball,Sim,E
EA,,,T
Capcom,2D,3D,T
EA,Soccer,Sim,E
Frozenbyte,2D,2D,
THQ,Combat,Wrestling,T
Telltale,General,General,M
Double,Fantasy,Defense,E
Trion,Fantasy,Fantasy,T
ChunSoft,General,Visual Novel,M
Io,Action Adventure,General,
Slightly,Simulation,Automobile,E
2K,First-Person,Arcade,M
Ronimo,General,General,
Telltale,General,Fantasy,M
Capy,General,General,
Q,Rail,Fantasy,
Slightly,Simulation,Automobile,
Gabe,Shooter,Top-Down,T
Edmund,Platformer,2D,
Firaxis,Historic,4X,
Io,Action Adventure,General,M
Sega,Arcade,Automobile,E
DoubleDutch,Platformer,2D,
Capcom,Horror,Survival,M
Pandemic,Real-Time,Military,M
Digital,Historic,Arcade,T
Kush,Basketball,Sim,E
Red,Tactical,Modern,M
EA,Racing,Stock Car,E
Impressions,Management,Government,E
LucasArts,Third-Person,Fantasy,T
Factor,Sci-Fi,Small Spaceship,T
SimTex,Sci-Fi,4X,
Remedy,Action Adventure,General,M
Ubisoft,General,Modern,M
EA,Soccer,Sim,E
Nomada,Platformer,2D,E
EA,Soccer,Sim,E
PlatinumGames,Sci-Fi,Arcade,M
Codemasters,Formula One,Automobile,E
Ubisoft,Action Adventure,Open-World,M
Sidhe,General,General,E
PlatinumGames,Sci-Fi,Arcade,M
EA,Sim,Sim,E
Atlus,Role-Playing,Japanese-Style,M
Pandemic,Third-Person,Sci-Fi,T
Introversion,Sci-Fi,General,E
Yuke,Fighting,Wrestling,T
Team,Platformer,2D,T
Codemasters,Formula One,Automobile,E
Vicious,Matching,Matching,
Villa,Action,Pinball,
From,Role-Playing,Action RPG,M
Tomorrow,Puzzle,Action,E
Virtuos,Miscellaneous,Compilation,T
Game,General,Military,
Frozenbyte,Platformer,2D,
Electronic,Sim,Sim,
SCEA,Music Maker,Music,E
Taito,Static,Vertical,E
Naughty,Platformer,3D,T
Midway,Third-Person,Sci-Fi,M
EA,Third-Person,Modern,T
Edge,Miscellaneous,Virtual Life,T
Capcom,Action Adventure,Fantasy,M
Paradigm,Driving,Mission-based,T
Capcom,Action Adventure,Horror,M
Sonic,Puzzle,General,E
Appaloosa,Action Adventure,Fantasy,E
Epic,Sci-Fi,Arcade,M
Ubisoft,Action Adventure,Fantasy,M
Berzerk,Rhythm,Music,
Ubisoft,Action Adventure,Open-World,M
Gearbox,Sci-Fi,Arcade,M
Square,Role-Playing,Action RPG,T
Square,Fantasy,Fantasy,T
Two,Virtual,Career,
Enhance,Puzzle,Matching,
Epic,Third-Person,Tactical,T
SUPERHOT,First-Person,Tactical,T
Ninja,General,Linear,M
Nippon,Turn-Based,Tactics,T
Konami,Soccer,Sim,E
Crate,Role-Playing,Action RPG,
Treyarch,First-Person,Tactical,M
Capcom,Puzzle,Matching,E
DICE,Historic,Arcade,T
Arc,Fighting,2D,T
Iron,Compilation,Compilation,T
Arika,Puzzle,Stacking,E
Square,Role-Playing,Japanese-Style,T
Zen,Pinball,Pinball,E
EA,Basketball,Sim,E
Flagship,Action Adventure,Horror,M
Altron,Traditional,Tennis,E
Hitmaker,Traditional,Tennis,E
BioWare,Sci-Fi,Arcade,T
Opus,General,Fantasy,
Bandai,Role-Playing,Action RPG,T
Tom,Puzzle,General,
Red,Adventure,General,
Sucker,Platformer,3D,
ArtPlay,Action RPG,2D,T
Idea,Adventure,Visual Novel,M
2K,Ice Hockey,Sim,
Ubisoft,General,Fantasy,T
SCE,2D,2D,E
SCEA,Sim,Sim,E
Blue,Sci-Fi,General,T
Hi,MOBA,MOBA,T
Monster,2D,2D,E
DrinkBox,Platformer,2D,
Digital,First-Person,Sci-Fi,M
Gearbox,Sci-Fi,Arcade,M
Capcom,2D,3D,T
Visual,Basketball,Sim,E
Vigil,Fantasy,Open-World,M
Okomotive,Platformer,2D,E
Sega,Turn-Based,Tactics,T
Ghost,Action,Arcade,E
Capcom,Miscellaneous,Compilation,E
EA,Soccer,Sim,E
Square,Miscellaneous,Compilation,T
EA,Modern,Arcade,M
ArtPlay,Role-Playing,Action RPG,T
From,Role-Playing,Action RPG,M
Slick,2D,2D,
ArenaNet,Role-Playing,Massively Multiplayer,T
Bethesda,General,Western-Style,M
Snowblind,Role-Playing,Action RPG,T
Grasshopper,Action,3D,M
EA,Traditional,Boxing,T
Atlus,Role-Playing,Japanese-Style,M
SegaSoft,Platformer,2D,E
Ninja,Action Adventure,General,M
Ubisoft,Historic,Open-World,M
Nival,Historic,Tactics,T
Electronic,Driving,Racing,E
EA,Soccer,Sim,E
EA,General,Modern,T
Relic,Sci-Fi,General,T
Shaba,Alternative,Wakeboarding,E
Sonic,Role-Playing,Action RPG,T
Stardock,Sci-Fi,4X,E
Tecmo,Action Adventure,Fantasy,T
Sony,Massively Multiplayer,Fantasy,T
Smilebit,Action,General,M
Square,Role-Playing,Action RPG,
Bungie,Sci-Fi,Arcade,M
Capcom,General,General,T
Black,Arcade,Automobile,E
Beenox,Arcade,Automobile,
Bugbear,Arcade,Automobile,T
Q,Fantasy,Defense,E
Konami,Arcade,Arcade,E
Throughline,Adventure,General,
Robot,General,Defense,T
Neversoft,Alternative,Skateboarding,T
Atlus,Role-Playing,Japanese-Style,M
Codemasters,Simulation,Automobile,E
DONTNOD,Sci-Fi,General,M
Pelfast,General,General,E
Radical,Action Adventure,Sci-Fi,T
5pb,General,Visual Novel,M
Ubisoft,General,Fantasy,T
Lionhead,Action RPG,Action RPG,M
Capcom,Horror,Survival,M
Inti,2D,2D,E
Treyarch,First-Person,Tactical,M
Arkane,First-Person,Arcade,M
Gaijin,Music,Music,T
Orbital,Racing,Arcade,E
Team,Miscellaneous,Compilation,M
Red,Role-Playing,General,T
Capcom,2D,3D,T
Traveller,Sci-Fi,General,
Eidos,Action Adventure,General,M
BootdiskRevolution,Platformer,2D,
Treyarch,Modern,Arcade,M
EA,Sim,Sim,E
Light,Fighting,3D,T
Visual,Sim,Sim,E
Kush,Basketball,Sim,E
Capcom,Action Adventure,Survival,M
Epic,Sci-Fi,Arcade,M
Red,Role-Playing,Western-Style,M
Sorath,First-Person,Arcade,
Sega,Puzzle,Stacking,
From,Role-Playing,Action RPG,
Midway,Basketball,Arcade,E
Capcom,Action Adventure,Fantasy,M
DMA,Platformer,3D,E
Arc,2D,2D,T
ZeniMax,Role-Playing,Massively Multiplayer,M
Wadjet,General,Adventure,
Turbine,Fantasy,Fantasy,T
Digital,Vertical,Horizontal,M
Vblank,Third-Person,Modern,T
Out,Baseball,Management,
Slightly,Simulation,Automobile,E
Codemasters,Driving,Racing,E
Nixxes,Modern,Linear,T
EA,Simulation,Automobile,T
Treasure,Scrolling,Vertical,
SKS,Action Adventure,Survival,
Namco,3D,3D,T
Infinity,First-Person,Tactical,M
Slightly,Simulation,Automobile,E
Paradox,General,Military,E
Farsight,Pinball,Pinball,
Square,Role-Playing,Japanese-Style,T
EA,Sim,Sim,E
Zen,Action,Pinball,
Zen,Pinball,Pinball,
Free,First-Person,Sci-Fi,M
EA,Sim,Sim,E
Slightly,General,Automobile,E
Zoe,3D,3D,
Creative,Real-Time,Tactics,
Treasure,Action RPG,Action RPG,T
Gearbox,Sci-Fi,Arcade,M
Landon,Action,General,
Electronic,Driving,Racing,E
Io,Tactical,Modern,T
3DO,Baseball,Arcade,E
EA,Sim,Sim,E
Black,Role-Playing,Western-Style,T
Ensemble,Historic,Command,T
Sony,Fantasy,Fantasy,T
Game,,,
Square,Action Adventure,Sandbox,
Supergiant,Action RPG,Action RPG,T
Treasure,2D,2D,T
Q,Matching,General,E
Ubisoft,Action Adventure,Fantasy,M
Nintendo,Third-Person,Arcade,
Namco,Role-Playing,Action RPG,
Villa,Action,Pinball,
Backbone,Static,Top-Down,E
Realtime,Sci-Fi,Sci-Fi,M
Sony,Fantasy,Fantasy,T
Ryu,Action Adventure,Open-World,M
Treyarch,First-Person,Historic,T
Yuke,Combat,Wrestling,T
Lionhead,Role-Playing,Action RPG,M
Visual,Arcade,Sim,E
Re,2D,2D,T
EA,Sim,Sim,E
Bungie,First-Person,Arcade,T
Square,Fantasy,Fantasy,T
SCEA,Baseball,Sim,E
Stainless,Card Battle,Card Battle,T
Blue,Strategy,General,
Telltale,Compilation,Third-Person,T
EA,Football,Sim,E
11,Real-Time,General,
Avalanche,Modern,Open-World,M
Jupiter,Logic,Logic,E
EA,Boxing,Combat,T
Treyarch,Action Adventure,Sci-Fi,T
Lunar,Platformer,2D,T
Trinket,Action,2D,
Nitro,General,Visual Novel,M
Image,Platformer,2D,
Just,General,Fantasy,T
Electronic,Sim,Sim,
EA,Sim,Sim,E
Obsidian,First-Person,Western-Style,M
Vigil,Modern,Open-World,M
Agenda,Board Games,Board Games,E
Atomic,Puzzle,Matching,E
Ubisoft,Modern,Modern,M
Monolith,,,T
Ratbag,Other,Automobile,E
Crawfish,Fighting,2D,T
Codemasters,Simulation,Automobile,E
Microsoft,WWII,Combat,E
Insomniac,Sci-Fi,Arcade,M
Robot,General,Defense,T
4A,First-Person,Sci-Fi,M
Square,Role-Playing,Japanese-Style,T
HAL,Puzzle,Action,E
Idol,Compilation,Compilation,
Io,Action Adventure,General,M
HAL,Logic,Logic,E
Treasure,Shooter,Scrolling,
EA,Football,Sim,E
Level,Role-Playing,Japanese-Style,
Intelligent,Puzzle,Action,E
The,Puzzle,General,E
Facepalm,Platformer,2D,
WayForward,General,General,E
Atlus,,,T
Human,Sci-Fi,Arcade,M
TT,General,Fantasy,
PlatinumGames,Tactical,Modern,M
Neversoft,Alternative,Skateboarding,T
Mercury,General,Fantasy,M
Digital,Vertical,Horizontal,M
Telltale,Third-Person,Fantasy,
Square,Action RPG,Action RPG,T
Droqen,General,General,
Funcom,Fantasy,Fantasy,M
Frozenbyte,Fantasy,2D,
Vigil,Modern,Open-World,M
Gunfire,Third-Person,Arcade,M
SCEA,Sim,Sim,E
Remedy,Horror,Survival,T
Gambitious,Miscellaneous,Compilation,
Bluepoint,Sci-Fi,Arcade,M
Harmonix,Rhythm,Music,E
Io,Action Adventure,Modern,M
EA,Basketball,Sim,E
Headgate,Sim,Sim,E
Pocketwatch,General,General,T
Quantic,Third-Person,Modern,M
Eidos,Action Adventure,General,M
RedLynx,Arcade,Automobile,T
The,Action,2D,T
Supergiant,Action RPG,Action RPG,T
Namco,General,Arcade,E
Ubisoft,Action Adventure,Fantasy,M
11,Role-Playing,Action RPG,
Renegade,Platformer,2D,E
Ubisoft,Role-Playing,General,
Level,Role-Playing,Action RPG,T
Sucker,Sci-Fi,Open-World,T
Nintendo,Virtual,Pet,E
Namco,3D,3D,T
Hello,Action Adventure,Open-World,T
Ryu,Action Adventure,Open-World,M
Codemasters,Simulation,Automobile,E
EA,Soccer,Sim,E
Spike,Adventure,Visual Novel,M
Housemarque,3D,2D,
Vicarious,3D,3D,
Nomada,Platformer,2D,E
Sledgehammer,Modern,Arcade,M
M2,Miscellaneous,Compilation,
Intelligent,Party,Party,
EA,Golf,Sim,E
Tequila,Adventure,General,T
SCEA,Sim,Sim,E
Arrowhead,Third-Person,Arcade,T
Slightly,General,Automobile,E
Sports,Management,Management,E
Treyarch,Historic,Arcade,M
Runic,Action RPG,Action RPG,T
EA,Soccer,Sim,E
Gabe,Shooter,Top-Down,
Warner,2D,3D,M
Endless,2D,2D,
Nintendo,Matching,Matching,E
Dimps,Platformer,2D,E
Ubisoft,Platformer,2D,E
Kush,Basketball,Sim,E
Capcom,Sci-Fi,Mech,T
Acclaim,Racing,Futuristic,E
EA,Soccer,Sim,E
Zipper,Futuristic Jet,Combat,T
Level,Puzzle,General,
Visual,Basketball,Sim,E
Askiisoft,Platformer,2D,
Spike,Miscellaneous,Compilation,M
PLAYDEAD,Platformer,2D,T
Nintendo,Virtual,Pet,E
Monolith,Role-Playing,Action RPG,T
EA,Driving,Racing,T
EA,Football,Sim,E
SimBin,Simulation,Automobile,E
GalaxyTrail,Platformer,2D,
Electronic,Sim,Sim,E
EA,Sim,Sim,E
SCE,3D,3D,T
Game,Japanese-Style,Trainer,E
Guerrilla,Role-Playing,Action RPG,T
Team,General,Fantasy,T
Nintendo,Music,Music,E
Twisted,2D,2D,T
Red,Adventure,General,M
SUPERHOT,First-Person,Tactical,T
SUPERHOT,First-Person,Tactical,T
Zen,Strategy,General,T
Sony,Fantasy,Fantasy,T
Team,General,Fantasy,M
Square,Fantasy,Open-World,E
United,Modern,Open-World,M
WayForward,2D,2D,T
Capcom,Miscellaneous,Compilation,T
Nintendo,Music,Music,E
Simogo,Rhythm,Music,
Grinding,Role-Playing,Action RPG,M
Falcom,Role-Playing,Japanese-Style,
Image,Turn-Based,General,
Mythic,Fantasy,Fantasy,T
Giant,3D,Third-Person,E
Sabotage,Platformer,2D,
Nintendo,Virtual,Pet,E
Tarsier,General,Linear,T
Askiisoft,Platformer,2D,M
Double,Puzzle,Action,
Ghost,Action,Arcade,E
Maxis,Strategy,General,E
TOSE,,,E
Codemasters,Simulation,Automobile,E
EA,Third-Person,Modern,T
Edge,Miscellaneous,Virtual Life,T
Acclaim,Baseball,Sim,E
EA,Racing,Formula One,E
Melbourne,Racing,Kart,E
Ubisoft,General,Modern,M
Vlambeer,Shooter,Top-Down,E
Broken,2D,2D,E
Irrational,Sci-Fi,Arcade,T
Io,General,Modern,M
Backbone,Matching,Matching,E
Io,Action Adventure,Modern,M
HAL,2D,2D,E
Treyarch,Modern,Arcade,M
Neversoft,Music,Music,T
Remedy,Horror,Survival,T
Jason,Puzzle,General,E
Telltale,Adventure,General,M
Rockstar,Third-Person,Modern,M
Double,Fantasy,Open-World,M
Intelligent,General,Fantasy,E
Terry,2D,2D,E
SimBin,Simulation,Automobile,E
Raven,Role-Playing,Action RPG,T
DONTNOD,Action Adventure,General,M
EA,Modern,Arcade,M
Rockstar,Modern,Open-World,T
Aki,Fighting,Wrestling,M
Image,Platformer,2D,
Free,Platformer,2D,
Nippon,Fantasy,Tactics,T
Humble,Action RPG,Action RPG,
EA,Modern,Arcade,T
Asobo,Action Adventure,General,M
Splashteam,Platformer,2D,E
Mossmouth,2D,2D,T
EA,Sim,Sim,E
Pandemic,First-Person,Sci-Fi,T
Studio,Racing,Futuristic,E
Particle,Large Spaceship,Civilian,E
Presto,Fantasy,Fantasy,E
SquareSoft,Turn-Based,Fantasy,T
Namco,Flight,Modern Jet,T
Capy,General,General,
Activision,Miscellaneous,Compilation,
Firaxis,Historic,4X,
Konami,Sim,Sim,E
Eugen,General,Tactics,
Paradox,Real-Time,General,
Nintendo,Virtual,Pet,E
Omega,Action,3D,T
Vicarious,3D,3D,
Lab,Role-Playing,Action RPG,T
Namco,Role-Playing,Action RPG,T
Paradox,General,General,E
EA,Soccer,Sim,E
Nintendo,Rhythm,Music,E
Misfits,Strategy,General,
Codemasters,Formula One,Automobile,E
DrinkBox,Action Adventure,General,T
Ubisoft,Fantasy,Linear,M
KillHouse,General,Tactics,
Valve,Tactical,Modern,M
Capcom,Action Adventure,Survival,M
BlitWorks,Action Adventure,General,
roll7,Sports,Individual,T
Harmonix,Rhythm,Music,E
Exakt,Historic,Arcade,M
Joakim,Action Adventure,Open-World,T
Zoink,Action,General,T
Villa,Action,Pinball,
Fatshark,First-Person,Arcade,M
SCEA,Baseball,Sim,E
Telltale,General,Compilation,
Team,Turn-Based,Artillery,
Indies,Rhythm,Music,T
KCEJ,Action Adventure,Fantasy,E
Marvelous,,,E
Game,Role-Playing,Trainer,E
Ubisoft,Action Adventure,Open-World,M
Retro,Platformer,2D,E
Sega,Historic,Tactics,T
Codemasters,Simulation,Automobile,E
Telltale,,,M
Zen,Parlor,Pinball,
Arc,2D,2D,T
Vanilla,Role-Playing,Action RPG,T
Shaba,Skateboarding,Skateboarding,T
Capcom,Platformer,3D,T
Swingin,Third-Person,Sci-Fi,T
Visual,Basketball,Sim,E
3DO,Baseball,Sim,E
FASA,Mech,Combat,T
EA,Racing,Formula One,E
Capcom,,,T
Digital,General,Modern,M
Nintendo,Racing,Kart,E
Klei,General,Tactics,
Intelligent,General,General,E
Studio,Futuristic,Futuristic,
Frictional,Action Adventure,Survival,M
Namco,Role-Playing,Action RPG,
Hidden,Sci-Fi,Defense,
Sega,Compilation,Compilation,T
Splash,Third-Person,Arcade,M
Crystal,Action Adventure,Modern,T
Ubisoft,Modern,Modern,M
Volition,Sci-Fi,Arcade,M
Raven,Role-Playing,Action RPG,T
Villa,Action,Pinball,
Telltale,Miscellaneous,Compilation,M
KING,General,General,T
Falcom,Action RPG,Action RPG,T
roll7,Team,Futuristic,
Locomalito,Shooter,Horizontal,T
2K,Sci-Fi,Arcade,M
Tendershoot,,,
AQ,Music Maker,Application,E
Banpresto,Turn-Based,Sci-Fi,T
Ubisoft,Action Adventure,Open-World,M
Defiant,,,T
Codemasters,Driving,General,
Harmonix,Dancing,Dancing,T
EA,Soccer,Sim,E
Codemasters,Formula One,Automobile,E
Enlight,Management,Tycoon,E
Bugbear,Simulation,Automobile,E
MTO,Driving,Racing,E
Nintendo,Racing,Arcade,E
Game,Japanese-Style,Trainer,E
Vlambeer,Shooter,Top-Down,
Harmonix,Rhythm,Music,T
Curve,Platformer,2D,T
From,Role-Playing,Action RPG,M
Blue,General,Historic,T
Zen,Action,Pinball,
Io,Action Adventure,General,M
Clap,Arcade,Arcade,E
SCEE,Music,Music,T
Abstraction,Adventure,General,T
Team,Soccer,Sim,E
Ubisoft,Role-Playing,General,
Rockstar,3D,First-Person,M
Paragon,Modern,Modern,T
Nicalis,2D,2D,
Stoic,Turn-Based,Tactics,
Telltale,General,Fantasy,M
TT,General,Fantasy,
Cardboard,General,General,
4J,First-Person,Fantasy,
SCEA,Sim,Sim,E
Eurocom,Shooter,Light Gun,M
Visual,Sim,Sim,E
Bandai,Simulation,Automobile,E
Midway,Basketball,Arcade,E
Eidos,Action Adventure,General,M
Sports,Football,Sim,
Capcom,Horror,Survival,M
Ubisoft,General,Modern,M
Jellyvision,,,T
Dennaton,Miscellaneous,Compilation,M
SUPERHOT,First-Person,Tactical,T
TT,General,Fantasy,
Game,,,E
EA,Baseball,Sim,E
Midway,Ice Hockey,Arcade,E
Koei,Rhythm,Music,E
Bullfrog,Strategy,Tycoon,E
Z,Alternative,Biking,E
Harmonix,Rhythm,Music,E
Keen,General,Historic,E
Level,Puzzle,General,
Farsight,Pinball,Pinball,
Capcom,Fantasy,Action RPG,T
Volition,Modern,Open-World,M
Gearbox,Miscellaneous,Compilation,M
Massive,Third-Person,Tactical,M
Playground,Simulation,Automobile,
Housemarque,Static,Top-Down,E
EA,Sim,Sim,E
Eugen,General,Military,T
Electronic,Football,Sim,E
Obsidian,Role-Playing,General,M
Lucid,Static,Top-Down,E
Parallel,Platformer,2D,E
Curve,Platformer,2D,T
Aquiris,Arcade,Automobile,E
Tequila,3D,Third-Person,
Bandai,Fighting,3D,T
13AM,Platformer,2D,E
EA,Football,Sim,E
NetherRealm,Fighting,2D,M
Alan,Puzzle,Action,
Fallen,Logic,Logic,E
RedLynx,Arcade,Automobile,E
Nintendo,2D,2D,E
KCEJ,Sci-Fi,Mech,M
Codemasters,Simulation,Automobile,E
Rare,Virtual,Virtual Life,E
Telltale,3D,Third-Person,
Bungie,First-Person,Arcade,T
EA,Sim,Sim,E
JoyMasher,Platformer,2D,T
Zen,Role-Playing,Action RPG,T
EA,Ice Hockey,Sim,
Asteroid,Shooter,Horizontal,
PopCap,Matching,Matching,E
Sonalysts,Marine,Combat,
Slightly,Simulation,Automobile,
TT,Compilation,Linear,
Double,General,Defense,T
Nixxes,Modern,Linear,T
Ubisoft,Action Adventure,Modern,T
Turbine,Fantasy,Fantasy,M
Realism,Puzzle,General,E
Yuke,Fighting,Wrestling,T
Massive,Third-Person,Tactical,M
Epic,Sci-Fi,Arcade,M
Ubisoft,Turn-Based,Tactics,
Metanet,Platformer,2D,
Wadjet,General,Sci-Fi,
Sega,Turn-Based,Tactics,T
Sega,2D,2D,E
Gearbox,First-Person,Arcade,M
Konami,Soccer,Sim,E
Right,Futuristic,Futuristic,E
Demruth,Puzzle,General,
Sumo,Kart,Automobile,
Visual,Sim,Sim,E
Obsidian,Role-Playing,Western-Style,T
Capcom,2D,2D,E
Iron,Compilation,2D,T
From,Role-Playing,Action RPG,M
BioWare,Role-Playing,Western-Style,M
Ubisoft,Action Adventure,Modern,T
Spike,Adventure,Visual Novel,
Blizzard,Turn-Based,Card Battle,
EA,Football,Sim,E
Creative,Historic,General,T
Farsight,Pinball,Pinball,
Treasure,Shooter,Scrolling,T
Raven,Action RPG,Action RPG,T
2K,Tennis,Tennis,E
Blizzard,Role-Playing,Massively Multiplayer,T
Sega,Arcade,Automobile,E
EA,Sim,Sim,E
Neversoft,Rhythm,Music,T
Ryu,Action Adventure,Open-World,M
Starbreeze,Modern,Arcade,M
The,Action Adventure,Open-World,M
Schell,3D,First-Person,
Atlus,Japanese-Style,Western-Style,T
Nippon,Fantasy,Tactics,T
Kojima,Action RPG,Action RPG,
Orann,Miscellaneous,General,
Telltale,Adventure,General,M
Eden,Simulation,Automobile,
Telltale,Third-Person,Fantasy,
Telltale,Compilation,Compilation,M
Bizarre,Arcade,Automobile,
EA,Soccer,Sim,E
Obsidian,Role-Playing,Western-Style,T
EA,Driving,Racing,T
Ironclad,General,General,T
Revolution,Third-Person,Modern,T
Triumph,General,Fantasy,T
Rainbow,Driving,Racing,E
Inti,Platformer,2D,E
Zipper,Tactical,Modern,M
Red,Modern,Modern,M
Strategic,General,Fantasy,T
Konami,Real-Time,Sci-Fi,T
Mixed,Shooter,Light Gun,M
Sports,Management,Management,
Arkane,First-Person,Arcade,
Telltale,Adventure,General,M
Raven,Action RPG,Action RPG,T
4A,First-Person,Arcade,M
Vigil,Modern,Open-World,M
Croteam,3D,First-Person,
Crystal,General,General,T
Bugbear,Arcade,Automobile,T
Paradox,Real-Time,General,
Telltale,Adventure,General,M
Bit,General,Fantasy,E
Black,Simulation,Automobile,E
Square,Role-Playing,Japanese-Style,T
Backbone,Matching,Matching,E
Nadeo,Arcade,Automobile,E
The,Adventure,General,
SCE,Platformer,3D,E
Rare,Virtual,Virtual Life,E
Reverge,2D,2D,T
Q,Static,Top-Down,E
Namco,3D,3D,T
WayForward,Platformer,2D,T
Bethesda,First-Person,Western-Style,M
17,Shooter,Vertical,
Die,General,Party,
BioWare,Role-Playing,Action RPG,M
BioWare,Role-Playing,Action RPG,M
Konami,Soccer,Sim,E
Pipeworks,Action Adventure,Sandbox,T
SNK,Miscellaneous,Compilation,T
Ronimo,Strategy,General,
Io,Action Adventure,General,M
Stoic,Turn-Based,Tactics,T
Defiant,,,T
Supergiant,Role-Playing,General,
GameDesignDan,Platformer,2D,T
Amplitude,General,4X,
Sega,3D,3D,T
Vicarious,3D,3D,
Atlus,General,Career,T
EA,2D,2D,E
Treyarch,First-Person,Historic,T
Nerve,Sci-Fi,Arcade,M
Zipper,Tactical,Modern,M
Raven,Role-Playing,Action RPG,T
Konami,Rhythm,Dancing,E
LucasArts,Turn-Based,Fantasy,T
Kush,Basketball,Sim,E
Red,Modern,Modern,M
EA,Soccer,Sim,E
Probe,Racing,Futuristic,E
GSC,Sci-Fi,Arcade,M
Inti,2D,2D,E
Ubisoft,First-Person,Arcade,M
Capcom,General,Fantasy,
Taito,Scrolling,Vertical,E
Tango,Action Adventure,Survival,M
Ska,Platformer,2D,M
Monolith,Horror,Survival,M
Io,General,Modern,M
Double,Fantasy,Open-World,M
Studio,Scrolling,Vertical,
Lab,Fighting,2D,T
Obsidian,First-Person,Western-Style,M
Klei,Turn-Based,Tactics,T
The,Action,2D,T
Konami,Soccer,Sim,E
Uber,Modern,Arcade,T
Bethesda,Role-Playing,Western-Style,M
Action,Sports,General,
Horberg,Platformer,2D,
Ludopium,Puzzle,General,E
Telltale,General,Fantasy,M
Starbreeze,Sci-Fi,Arcade,M
Capcom,Action Adventure,Survival,M
Fabraz,Action Adventure,Linear,E
NetherRealm,Fighting,2D,M
Crystal,Action Adventure,Modern,T
Konami,Sim,Sim,E
EA,Golf,Sim,E
Raven,Role-Playing,Action RPG,T
Cultic,Adventure,General,
Dumb,Platformer,2D,
Firaxis,Turn-Based,General,M
EA,Soccer,Sim,E
Io,Tactical,Modern,T
Stormfront,,,T
EA,Basketball,Sim,E
Wow,Driving,Racing,E
Panther,Wargame,Turn-Based,E
Eighting,Fighting,3D,T
Hitmaker,Racing,Arcade,T
14,Action RPG,Action RPG,M
Quest,Turn-Based,Fantasy,T
Dimps,2D,2D,E
Activision,Miscellaneous,Compilation,
EA,Simulation,Automobile,T
Ion,Action Adventure,Fantasy,M
Farsight,Pinball,Pinball,
Shin,Puzzle,General,E
Sports,Management,Sim,
Almost,General,General,
Codemasters,Simulation,Automobile,E
Locomalito,Shooter,Horizontal,
Remedy,Action Adventure,General,M
