Zaloznik,zanr1,zanr2,esbr
Tricky,Platformer,3D,E
From,General,Action RPG,M
Sanzaru,Action Adventure,General,
Silicon,Action Adventure,Horror,M
Blizzard,General,Fantasy,T
EA,Alternative,Snowboarding,E
Maxis,Virtual,Virtual Life,T
Rare,Platformer,3D,E
Firaxis,Real-Time,General,E
Matt,Platformer,2D,
Harmonix,Music,Music,T
Microsoft,Driving,Racing,E
EA,Football,Sim,E
Capcom,2D,3D,T
KCET,Sim,Sim,E
Intelligent,Turn-Based,Modern,E
SquareSoft,Role-Playing,Action RPG,T
Giant,3D,First-Person,T
Valve,Tactical,Modern,M
Looking,Sci-Fi,Survival,M
Ubisoft,General,Modern,M
Square,,,T
tobyfox,Role-Playing,Japanese-Style,
EA,Football,Sim,E
CD,Role-Playing,Action RPG,M
Nintendo,Platformer,2D,E
Visual,Football,Sim,E
HAL,Fighting,3D,T
EA,Football,Sim,E
Creative,General,Historic,T
Turn,Simulation,Automobile,E
Capcom,Action Adventure,General,T
tobyfox,General,Japanese-Style,
Rocksteady,General,Fantasy,T
Nintendo,Platformer,3D,E
EA,Alternative,Snowboarding,E
Namco,Fighting,3D,T
Neversoft,Alternative,Skateboarding,T
Looking,General,Fantasy,M
Intelligent,Fantasy,Tactics,T
Ensemble,Historic,Command,T
SquareSoft,,,T
Ubisoft,Action Adventure,Fantasy,T
Telltale,Compilation,Compilation,M
Epic,Sci-Fi,Arcade,M
Firaxis,Sci-Fi,4X,E
Nintendo,Driving,Racing,E
Larian,Role-Playing,Western-Style,M
Stardock,Sci-Fi,4X,
Bandai,2D,3D,
Harmonix,Rhythm,Music,T
SquareSoft,,,T
Harmonix,Music,Music,T
TOSE,Role-Playing,Japanese-Style,
Nintendo,Action Adventure,Linear,M
ThatGameCompany,3D,3D,E
Monolith,Action RPG,Action RPG,T
Rare,Platformer,3D,M
Dreamworks,First-Person,Historic,T
NanaOn,Rhythm,Music,
Harmonix,Music,Music,T
Nintendo,Arcade,Automobile,E
Bluepoint,Compilation,Compilation,T
UBlart,2D,2D,
Retro,First-Person,Sci-Fi,T
Out,Sim,Team,
Nintendo,Action Adventure,Sci-Fi,E
CD,Role-Playing,Action RPG,M
TOSE,,,
Ubisoft,2D,2D,
Headgate,Sim,Sim,E
EA,Football,Sim,E
Capcom,2D,3D,T
Namco,General,Arcade,E
Harmonix,Music,Music,T
From,Role-Playing,Action RPG,T
Arkane,General,Modern,M
Visual,Football,Sim,E
2015,Historic,Arcade,T
Bungie,General,Fantasy,M
Media,2D,3D,E
PLAYDEAD,Platformer,2D,M
Harmonix,Rhythm,Music,T
Blizzard,Fantasy,Fantasy,T
Backbone,Music,Music,T
Retro,First-Person,Sci-Fi,T
Blizzard,First-Person,Tactical,T
Electronic,Formula One,Formula One,E
Neversoft,Alternative,Skateboarding,T
EA,Football,Sim,E
BioWare,Role-Playing,Western-Style,T
PlatinumGames,Fantasy,Linear,M
CD,Role-Playing,Action RPG,M
Harmonix,Music,Music,T
Namco,Platformer,3D,E
1C,WWII,Combat,T
Camelot,Traditional,Tennis,E
Volition,Small Spaceship,Combat,E
Psygnosis,Sci-Fi,Small Spaceship,E
Kojima,Modern,Open-World,M
Insomniac,Platformer,3D,T
Capcom,Action Adventure,Horror,M
EA,Sim,Sim,E
From,Action Adventure,General,M
Ubisoft,Historic,Open-World,M
KCEJ,Action Adventure,Modern,M
Incognito,Driving,Car Combat,M
Insomniac,Platformer,3D,E
Core,Action Adventure,Modern,T
Blizzard,First-Person,Tactical,T
Capcom,Horror,Survival,M
SCE,Action Adventure,Fantasy,T
Playground,Simulation,Automobile,E
PopCap,Puzzle,Action,E
Nintendo,Action Adventure,Fantasy,E
Gearbox,Sci-Fi,Arcade,M
Sega,Platformer,2D,E
Square,Role-Playing,Massively Multiplayer,T
Ubisoft,General,Modern,T
Motion,Platformer,2D,T
Cardboard,Adventure,General,
EA,Football,Sim,E
Crytek,Sci-Fi,Arcade,M
Team,Action Adventure,Fantasy,M
Ready,Fantasy,Linear,M
Square,Role-Playing,Massively Multiplayer,T
Team,Fighting,3D,T
Blizzard,Fantasy,Fantasy,T
SCEA,Sim,Sim,E
Bluepoint,Action Adventure,General,T
Nintendo,Platformer,2D,E
CD,Role-Playing,Action RPG,M
Headgate,Sim,Sim,E
Visual,Football,Sim,E
EA,Football,Sim,E
Funcom,Fantasy,Fantasy,M
Neversoft,Skateboarding,Skateboarding,T
LucasArts,Sci-Fi,Arcade,
Rocksteady,General,Fantasy,T
Bungie,Sci-Fi,Arcade,M
Stardock,Sci-Fi,4X,
BioWare,Japanese-Style,Western-Style,M
Monolith,Modern,Arcade,M
Turn,Simulation,Automobile,E
Capcom,Action Adventure,Horror,M
Digital,Modern,Modern,T
Bluepoint,Compilation,Compilation,M
Matt,Platformer,2D,
EA,Football,Sim,E
Neversoft,Alternative,Skateboarding,T
Capcom,2D,3D,T
Bethesda,First-Person,Western-Style,M
Rocksteady,Fantasy,Open-World,T
Polytron,2D,2D,E
Black,General,Western-Style,T
Epic,Sci-Fi,Arcade,M
